tick,iso8601,date,location type,location coordinates,agent infected,age of agent infected,activity of agent infected,agent responsible,age of agent responsible,activity of agent responsible
4947,03/28/2020T08:30:00 ,2020-03-28,Shop,"(4034128.885257571, 2953911.3275973205)",ecd17b760b6245e992a831afcf9cc086,27,Work,38eb1fa638d4489bb68344cdb4489e37,44,Work
4949,03/28/2020T08:50:00 ,2020-03-28,Hospital,"(4042258.9607014074, 2950931.6351770703)",fe91dad1e4c148a7a5e525189f1d7815,37,Work,06aa1fda8d3c4bac8effd567a4f8c6bc,62,Work
4949,03/28/2020T08:50:00 ,2020-03-28,Hospital,"(4045102.858066724, 2979597.322526268)",cd5c4468759c4fbf90ba5718305ea3e0,58,Work,791ac5a56e734b3ea69911e7fb01a771,68,House
4950,03/28/2020T09:00:00 ,2020-03-28,Hospital,"(4042258.9607014074, 2950931.6351770703)",c0ab1c2bcbcc479186a95b2fcc5bf587,56,Work,ce72e78d4d31475786563571a7b5304a,34,Work
4950,03/28/2020T09:00:00 ,2020-03-28,Hospital,"(4042258.9607014074, 2950931.6351770703)",610a8d817eae41e5935f0e3ece87d9d0,50,Work,aaaf36c000c141368d6d875604a245d3,30,Work
4950,03/28/2020T09:00:00 ,2020-03-28,Secondary School,"(4040628.330452468, 2996223.4875011416)",33d2194fabee46eba28b6bea238e3cf2,18,School,8d68ae877ca54344bd51f9c0fefdf12c,14,School
4951,03/28/2020T09:10:00 ,2020-03-28,Secondary School,"(4042503.0765158404, 2946976.537047803)",459c85b3c91a478ca2e09544aeb048e7,25,School,5b5b002713234451b891c8b0f2bfbd1e,15,School
4952,03/28/2020T09:20:00 ,2020-03-28,Hospital,"(4045102.858066724, 2979597.322526268)",f54b98f5e58043b28e5fbcaae25e6276,46,Work,d3222274fd494204aebdda3249dc0f99,53,House
4954,03/28/2020T09:40:00 ,2020-03-28,Care Home,"(4039799.456236095, 2951715.5215086467)",120a6b02b2134d0da83828855edd2221,51,Work,2d37f3801d1946b4a4bce5e9e5889f35,28,Work
4954,03/28/2020T09:40:00 ,2020-03-28,Hospital,"(4042258.9607014074, 2950931.6351770703)",de5791e10d984d6cbbe913582ce498a8,53,Work,aafdc35841a64f7080dcb224061796e8,26,Work
4954,03/28/2020T09:40:00 ,2020-03-28,Hospital,"(4042258.9607014074, 2950931.6351770703)",1f2b888bb7c54278bb19434140f6bcba,49,Work,344abf3b9fc7419c93ad7f65198d47b2,62,Work
4955,03/28/2020T09:50:00 ,2020-03-28,Shop,"(4034128.885257571, 2953911.3275973205)",5af01a933825469b93d29da8fd75b991,21,Work,d7238feef95a4bc2b8e95f2e4946537c,21,Work
4955,03/28/2020T09:50:00 ,2020-03-28,Shop,"(4034128.885257571, 2953911.3275973205)",5662b529be3f4b748d0551743f0f0607,48,Work,66bb6f4c51e040aead44b827ae046f5b,42,Work
4956,03/28/2020T10:00:00 ,2020-03-28,Shop,"(4034128.885257571, 2953911.3275973205)",3223e1373b6249e59686e87bd5d5123f,32,Work,e77b1a47dc4d4cb49175f89687bd92c1,29,Work
4956,03/28/2020T10:00:00 ,2020-03-28,Hospital,"(4042258.9607014074, 2950931.6351770703)",4c239d1fb0d34bb2a31309d39ace4893,54,Work,d6a86851cc1848ab860cd5fe84018ef2,49,Work
4961,03/28/2020T10:50:00 ,2020-03-28,Shop,"(4034128.885257571, 2953911.3275973205)",11d95752fdf2466a8cb2b78439a63b4d,29,Work,9ec325a276f34f6aaa822500c78f4fb6,48,Work
